perceive		v.察觉
penchant		n.爱好、嗜好
pasture			n.牧场 v.放牧
monopoly		n.垄断
momentum		n.势力
meticulous		adj.注意的
keen			adj.敏锐的、强烈的、渴望的
kinetic			adj.运动的
intoxicate		v.使···醉
intimate		adj.私通的、亲密的
fleece 			n.羊毛
feat			n.壮举
excuberant		adj.枝繁叶茂的
extermination	n.灭绝
equatorial		adj.赤道的
encroach 		v.吞食
dormancy		n.休眠
discern			v.分辨、领悟
devour			v.吞食
deciduous		adj.落叶的
curtain 		n.帘子 v.装上窗帘
condense 		v.浓缩
comprise		v.由```组成
cellulose		n.纤维素
bushy			adj.灌木林立的
bread			v.养育
boast 			v.吹牛
anticipate		v.预测、预期
antennae		n.触角、天线
delicate		adj.精致的、易碎的
absorption		n.全神贯注
strain			n.紧张、拉力
incorporation	n.合并
frost			n.霜
excessive		adj.过多的、过度的
excess			adj.过度的、超额的 n.超额
tile 			n.瓦片
wilderness		n.荒地
susceptible 	adj.易受影响的
resilience 		n.弹力
pent-up			adj.压抑的
lava			n.岩浆
institute		n.协会、学院
fir				n.杉木
exert			v.利用、使用
circumscribe	v.限制、外切
bulb			n.电灯泡
utility			n.工具
strand			n.海滨、串
sap				v.破坏
staple			n.装订机
prominent		adj.重要的、杰出的
notation		n.乐谱
niche			n.生态位
laten			adj.潜在的	v.使迟缓
enhance			v.提高
gill			n.腮
mantle 			n.斗篷、遮蔽物
volumn			n.量、册、卷、体积
propose			v.建议、提议、求婚
engage			v.设计、参与、使订婚
severe			n.严厉的
tract			n.大片土地、地带、册子
antarctic 		n.南极洲
catastrophe 	n.大灾难
terrain			n.地势地带
terra			n.陆地、地球
superiority		n.优越感
metal			adj.金属的 n.金属、合金
parlor			n.客厅、会议室、店面
distinctive		adj.可区分的、与众不同的
surge			v.汹涌
fundamental 	n.基础
potter			n.陶艺家
pottery			n.陶器
conception		n.构想、怀孕
university		n.大学
universality	n.普遍性
carbonate		v.使··成为碳酸盐 n.碳酸盐
relate			v.涉及、有关
settler			n.移民
plain			n.明文、平原
deposition		n.罢免、放置
electrical		adj.本身可不带电、从事与电相关的
plumb			adj./n. 铅锤(的),垂直的
peregrine		adj.外来的 n.游隼
indispensable 	adj.不可缺少的
incidental 		adj.偶然的、附带的
humanity		n.人性
cramp			n./v.钳
chisel			n./v.凿
boulder			n.大圆石
arboreal		adj.树木的、栖息在树上的
vacancy			n.空缺、空白、空虚
turbulent		adj.骚乱的
strive			v.努力、奋斗、抗争
stationary		adj.静止的
startle			v.使惊讶
gull			n.海鸥
substitute		n.代替物	v.代替
scatter			v.使散开
precipitation	n.降水、沉淀物
prairie			n.大草原
incentive		n.动机
extensive		adj.排外的
expolit			v.开采
basalt			n.玄武岩
tectonic		adj.地质构造的
spinal			adj.脊柱的、尖刺的
presumably		adv.推测地；大概
pale			adj.苍白的
mound			n.堤岸
broadside		n.舷侧


